,Player,Nation,Pos,Age,ptime_MP,ptime_Starts,ptime_Min,ptime_90s,perf_Gls,perf_Ast,perf_G+A,perf_G-PK,perf_PK,perf_PKatt,perf_CrdY,perf_CrdR,exp_xG,exp_npxG,exp_xAG,exp_npxG+xAG,prog_PrgC,prog_PrgP,prog_PrgR,p90_Gls,p90_Ast,p90_G+A,p90_G-PK,p90_G+A-PK,p90_xG,p90_xAG,p90_xG+xAG,p90_npxG,p90_npxG+xAG,Matches,Team,Season,MP
1,Antoine Semenyo,gh GHA,FW,25-120,34.0,33,2933.0,32.6,9.0,5.0,14.0,9.0,0.0,0.0,9.0,0.0,9.3,9.3,5.8,15.1,133.0,106.0,259.0,0.28,0.15,0.43,0.28,0.43,0.29,0.18,0.46,0.29,0.46,Matches,Bournemouth,2024,
2,Illia Zabarnyi,ua UKR,DF,22-248,33.0,32,2842.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.1,1.1,0.6,1.6,25.0,128.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,Bournemouth,2024,
3,Lewis Cook,eng ENG,"MF,DF",28-093,34.0,30,2816.0,31.3,1.0,3.0,4.0,1.0,0.0,0.0,8.0,0.0,0.9,0.9,4.1,5.1,33.0,153.0,49.0,0.03,0.1,0.13,0.03,0.13,0.03,0.13,0.16,0.03,0.16,Matches,Bournemouth,2024,
4,Kepa Arrizabalaga,es ESP,GK,30-216,28.0,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,2024,
5,Justin Kluivert,nl NED,"MF,FW",26-002,31.0,27,2161.0,24.0,12.0,6.0,18.0,6.0,6.0,6.0,8.0,0.0,10.0,5.3,4.8,10.1,74.0,95.0,153.0,0.5,0.25,0.75,0.25,0.5,0.42,0.2,0.62,0.22,0.42,Matches,Bournemouth,2024,
6,Ryan Christie,sct SCO,MF,30-074,29.0,27,2117.0,23.5,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,1.8,1.8,3.5,5.4,34.0,137.0,44.0,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,Matches,Bournemouth,2024,
7,Evanilson,br BRA,FW,25-213,28.0,25,2058.0,22.9,10.0,1.0,11.0,10.0,0.0,1.0,1.0,1.0,11.6,10.8,1.6,12.5,28.0,24.0,88.0,0.44,0.04,0.48,0.44,0.48,0.51,0.07,0.58,0.47,0.55,Matches,Bournemouth,2024,
8,Dean Huijsen,es ESP,DF,20-023,29.0,24,2234.0,24.8,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,1.9,1.9,2.0,3.8,36.0,116.0,10.0,0.12,0.04,0.16,0.12,0.16,0.08,0.08,0.15,0.08,0.15,Matches,Bournemouth,2024,
9,Dango Ouattara,bf BFA,FW,23-085,32.0,21,2005.0,22.3,7.0,4.0,11.0,7.0,0.0,0.0,3.0,0.0,8.4,8.4,5.5,13.8,79.0,43.0,191.0,0.31,0.18,0.49,0.31,0.49,0.38,0.25,0.62,0.38,0.62,Matches,Bournemouth,2024,
10,Tyler Adams,us USA,MF,26-082,25.0,18,1710.0,19.0,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,1.6,1.6,1.0,2.5,12.0,65.0,9.0,0.0,0.16,0.16,0.0,0.16,0.08,0.05,0.13,0.08,0.13,Matches,Bournemouth,2024,
11,Marcus Tavernier,eng ENG,"FW,MF",26-046,26.0,17,1670.0,18.6,3.0,5.0,8.0,3.0,0.0,0.0,5.0,0.0,5.3,5.3,2.8,8.1,41.0,102.0,106.0,0.16,0.27,0.43,0.16,0.43,0.29,0.15,0.44,0.29,0.44,Matches,Bournemouth,2024,
12,Adam Smith,eng ENG,DF,34-008,22.0,17,1409.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,0.3,1.0,12.0,40.0,31.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,Bournemouth,2024,
13,Marcos Senesi,ar ARG,DF,27-362,15.0,12,1014.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,0.2,1.0,12.0,51.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,Bournemouth,2024,
14,David Brooks,wls WAL,"FW,MF",27-303,26.0,8,832.0,9.2,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.2,2.2,1.7,3.9,25.0,27.0,75.0,0.22,0.0,0.22,0.22,0.22,0.24,0.18,0.42,0.24,0.42,Matches,Bournemouth,2024,
15,Alex Scott,eng ENG,MF,21-259,18.0,7,709.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.8,1.5,15.0,49.0,33.0,0.0,0.0,0.0,0.0,0.0,0.08,0.11,0.19,0.08,0.19,Matches,Bournemouth,2024,
16,James Hill,eng ENG,DF,23-117,10.0,6,448.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.3,0.6,3.0,16.0,8.0,0.0,0.2,0.2,0.0,0.2,0.06,0.05,0.11,0.06,0.11,Matches,Bournemouth,2024,
17,Julian Araujo,mx MEX,DF,23-267,10.0,6,426.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,2024,
18,Mark Travers,ie IRL,GK,25-354,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,2024,
