,Player,Nation,Pos,Age,90s,standard_Gls,standard_Sh,standard_SoT,standard_SoT%,standard_Sh/90,standard_SoT/90,standard_G/Sh,standard_G/SoT,standard_Dist,standard_FK,standard_PK,standard_PKatt,expected_xG,expected_npxG,expected_npxG/Sh,expected_G-xG,expected_np:G-xG,Matches,Team,Season
336,Francisco Perez,es ESP,"MF,FW",22-242,5.1,0,5,1,20.0,0.98,0.2,0.0,0.0,18.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,Valencia,2024
337,Sergi Canós,es ESP,"MF,FW",28-096,4.0,0,10,3,30.0,2.48,0.74,0.0,0.0,19.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,Valencia,2024
338,Ivan Jaime Pajuelo,es ESP,MF,24-225,2.1,0,5,1,20.0,2.34,0.47,0.0,0.0,20.4,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,Valencia,2024
339,Germán Valera,es ESP,MF,23-054,1.6,0,3,2,66.7,1.82,1.22,0.0,0.0,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Valencia,2024
340,Max Aarons,eng ENG,"DF,MF",25-125,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Valencia,2024
341,Maximiliano Caufriez,be BEL,DF,28-082,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Valencia,2024
342,Rodrigo Abajas,es ESP,DF,21-362,0.7,0,1,0,0.0,1.38,0.0,0.0,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Valencia,2024
343,Martín Tejón,es ESP,"MF,DF",21-027,0.5,0,1,0,0.0,1.84,0.0,0.0,,11.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,Valencia,2024
344,Iker Córdoba,es ESP,DF,19-179,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Valencia,2024
345,David Otorbi,es ESP,MF,17-205,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Valencia,2024
