,Player,Nation,Pos,Age,90s,total_Cmp,total_Att,total_Cmp%,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp%,medium_Cmp,medium_Att,medium_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,expected_xA,expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Team,Season
93,Óscar de Marcos,es ESP,DF,36-025,15.3,723,910,79.5,12816,4708,332,372,89.2,314,376,83.5,75,129,58.1,4,2.2,2.0,1.8,18,89,22,15,88,Matches,Athletic Club,2024
94,Iñigo Ruiz de Galarreta,es ESP,MF,31-276,13.9,589,725,81.2,11115,3337,214,247,86.6,312,341,91.5,56,102,54.9,4,2.8,2.5,1.2,24,91,22,3,120,Matches,Athletic Club,2024
95,Julen Agirrezabala,es ESP,GK,24-134,13.4,281,411,68.4,7681,5777,46,46,100.0,165,165,100.0,70,196,35.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches,Athletic Club,2024
96,Unai Gómez,es ESP,"MF,FW",21-349,12.3,185,260,71.2,2906,635,92,118,78.0,68,87,78.2,18,34,52.9,2,0.8,0.8,1.2,9,19,1,0,21,Matches,Athletic Club,2024
97,Adama Boiro,es ESP,DF,22-321,11.2,382,477,80.1,5980,1907,203,223,91.0,166,212,78.3,11,28,39.3,0,0.3,0.5,-0.3,4,44,8,4,46,Matches,Athletic Club,2024
98,Mikel Vesga,es ESP,MF,31-353,9.8,388,478,81.2,6856,1981,169,190,88.9,175,211,82.9,39,61,63.9,0,0.6,0.6,-0.6,11,46,4,0,58,Matches,Athletic Club,2024
99,Iñigo Lekue,es ESP,DF,32-005,7.6,292,376,77.7,5007,1707,128,147,87.1,139,170,81.8,21,46,45.7,0,0.3,0.2,-0.3,6,30,0,0,33,Matches,Athletic Club,2024
100,Álvaro djaló,es ESP,FW,25-266,6.7,69,107,64.5,1071,276,40,52,76.9,22,38,57.9,6,10,60.0,0,0.9,0.6,-0.9,4,5,5,4,10,Matches,Athletic Club,2024
101,Unai Núñez,es ESP,DF,28-099,6.5,271,310,87.4,6123,2329,51,60,85.0,179,190,94.2,40,57,70.2,0,0.1,0.1,-0.1,1,14,1,0,24,Matches,Athletic Club,2024
102,Maroan Sannadi,es ESP,FW,24-097,5.7,79,109,72.5,1012,208,51,60,85.0,20,28,71.4,3,8,37.5,1,0.6,0.6,0.4,7,8,8,0,14,Matches,Athletic Club,2024
103,Alex Padilla,es ESP,GK,21-250,3.6,67,121,55.4,2317,1964,9,9,100.0,25,25,100.0,33,86,38.4,0,0.0,0.0,0.0,0,4,0,0,0,Matches,Athletic Club,2024
